Substance,CAS,TWAppm,TWAmgm3,STELppm,STELmgm3,CEILINGppm,CEILINGmgm3,Keys,Year Adopted,Next Review,Comments
Acetaldehyde,[75-07-0],,,,,20,36,6.7B,2020,,
Acetic acid,[64-19-7],10,25,15,37,,,,,,
Acetic anhydride,[108-24-7],,,,,5,21,,,2022,
Acetone,[67-64-1],500,1185,1000,2375,,,bio,,,
Acetonitrile,[75-05-8],40,67,60,101,,,skin,,2023,
Acetylene,[74-86-2],,,,,,,sax,,,
"Acetylene dichloride (1,2-Dichloroethylene)",[540-59-0],200,793,,,,,,,,
Acetylene tetrabromide,[79-27-6],1,14,,,,,,,,
Acetylsalicylic acid (Aspirin),[50-78-2],,5,,,,,,,,
Acrolein,[107-02-8],0.1,0.23,,,,,,,2022,
Acrylamide,[79-06-1],,0.0015,,,,,6.7A; skin; dsen,2019,,
Acrylic acid,[79-10-7],2,5.9,,,,,skin; dsen,,,
Acrylonitrile (Vinyl cyanide),[107-13-1],0.05,0.1,,,,,6.7A; skin; dsen,2019,,
Allyl alcohol,[107-18-6],2,4.8,4,9.5,,,,,,
Allyl chloride,[107-05-1],1,3,2,6,,,6.7B,,,
Allyl glycidyl ether (AGE),[106-92-3],0.25,1.2,0.5,2.4,,,skin; dsen,2020,,
? Alumina (Aluminium oxide),[1344-28-1],,10,,,,,,,,
Aluminium oxide (? Alumina),[1344-28-1],,10,,,,,,,,
"Aluminium, Metal dust (as Al)",[7429-90-5],,10,,,,,,,2022,
"Aluminium, Alkyls (not otherwise classified) (as Al)",,,2,,,,,,,2022,
"Aluminium, Pyro powders (as Al)",,,5,,,,,,,2022,
"Aluminium, Soluble salts (as Al)",,,5,,,,,,,2022,
"Aluminium, Welding fumes (as Al)",,,5,,,,,,,2022,
"3-Amino-1,2,4-triazole (Amitrole)",[61-82-5],,0.2,,,,,,,,
2-Aminoethanol (Ethanolamine),[141-43-5],3,7.5,6,15,,,,,2022,
2-Aminopyridine,[504-29-0],0.5,2,,,,,,,,
"Amitrole (3-Amino-1,2,4-triazole)",[61-82-5],,0.2,,,,,,,,
